Date,Name,Year,Letterboxd URI,Rating
2022-01-12,Come and See,1985,https://boxd.it/1w9q,5
2022-01-12,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2022-01-12,Spider-Man: Homecoming,2017,https://boxd.it/aboM,2.5
2022-01-12,Spider-Man 3,2007,https://boxd.it/2a7Y,3.5
2022-01-12,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,2.5
2022-01-12,Spider-Man,2002,https://boxd.it/2a8i,4
2022-01-12,Hamilton,2020,https://boxd.it/kmvE,4
2022-01-12,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2022-01-12,Red Dragon,2002,https://boxd.it/1Yrs,3.5
2022-01-12,American Psycho,2000,https://boxd.it/28Vs,4
2022-01-12,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,3
2022-01-12,Captain America: Civil War,2016,https://boxd.it/89Ja,3
2022-01-12,Captain America: The First Avenger,2011,https://boxd.it/28b0,2.5
2022-01-12,Iron Man 2,2010,https://boxd.it/1WZM,2
2022-01-12,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,1.5
2022-01-12,Iron Man 3,2013,https://boxd.it/2cBQ,2.5
2022-01-13,Inception,2010,https://boxd.it/1skk,5
2022-01-13,V for Vendetta,2005,https://boxd.it/29Ik,3.5
2022-01-13,Spirited Away,2001,https://boxd.it/2b4m,5
2022-01-13,Django Unchained,2012,https://boxd.it/2cCk,4.5
2022-01-13,Shutter Island,2010,https://boxd.it/1U82,5
2022-01-13,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2022-01-13,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,5
2022-01-13,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,5
2022-01-13,Parasite,2019,https://boxd.it/hTha,5
2022-01-13,The Phantom of the Opera,2004,https://boxd.it/1XHu,3
2022-01-13,Scarface,1983,https://boxd.it/2b7g,4
2022-01-13,Uncut Gems,2019,https://boxd.it/gXGc,4
2022-01-13,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,3
2022-01-13,Wreck-It Ralph,2012,https://boxd.it/2TTS,3
2022-01-13,Brave,2012,https://boxd.it/bVG,2
2022-01-13,Rango,2011,https://boxd.it/QPk,4.5
2022-01-13,The Lorax,2012,https://boxd.it/2w9M,3.5
2022-01-13,How to Train Your Dragon,2010,https://boxd.it/1WRy,3
2022-01-13,Up,2009,https://boxd.it/1OEc,4
2022-01-13,Happy Feet,2006,https://boxd.it/1XH0,2.5
2022-01-13,Perfect Blue,1997,https://boxd.it/1W7A,5
2022-01-13,Princess Mononoke,1997,https://boxd.it/2b4w,5
2022-01-13,American History X,1998,https://boxd.it/2bdo,4
2022-01-13,Ghost in the Shell,1995,https://boxd.it/1YYc,4.5
2022-01-13,Home Alone,1990,https://boxd.it/29Fg,2.5
2022-01-13,My Neighbor Totoro,1988,https://boxd.it/20eA,4
2022-01-13,Kung Fu Panda,2008,https://boxd.it/1Yws,4
2022-01-13,WALL·E,2008,https://boxd.it/1VEo,4.5
2022-01-13,Spy Kids,2001,https://boxd.it/1Xcw,4
2022-01-13,Spy Kids 2: The Island of Lost Dreams,2002,https://boxd.it/1Yyo,4
2022-01-13,Spy Kids 3-D: Game Over,2003,https://boxd.it/1S7w,3
