Category, Item, Brand, Rating (out of 5), Description
Beverages, Snickers Iced Coffee Latte, Victor Allen's, 1, Don't even bother buying it.
Beverages, Twix Iced Coffee Latte, Victor Allen's, 1, Seriously, it's terrible.
Beverages, Iced Coffee, Dunkin, 4, Sweet, but has a bit of a bitter aftertaste.
Beverages, Bottled Frappuccino, Starbucks, 4, Sweet and tasty. Not bitter.
Beverages, Coca Cola, Berkshire Hathaway, 5, The best kinds are found in glass bottles, but the worst can be bad.
Beverages, Pepsi, PepsiCo, 4, Good, but Coke is better.
Beverages, Coke Zero Sugar, Berkshire Hathaway, 2, Tastes watered down.
Beverages, Pepsi Zero Sugar, PepsiCo, 2, Tasted watered down.
Beverages, Mountain Dew, 3, Good.
Beverages, Ginger Ale, Keurig Dr Pepper, 4, Ginger taste; good for the stomach.
Beverages, A&W Root Beer, Keurig Dr Pepper, 2; Don't like it, but could be good.
Beverages, Sparkling Ice, Talking Rain Beverage Company, 4, The only sparkling water I enjoy.
